link,has_inertial,appears_as_parent,appears_as_child,reachable_from_base_link,suggested_action
base_link,False,True,False,False,root;make_real_component_with_body
head_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_ankle_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_foot_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_hand_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_hip_roll_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_hip_yaw_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_knee_center,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_knee_front_upper_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_knee_lower,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_knee_motor_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_knee_rear_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_shank_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_shoulder_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_thigh_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
left_upper_arm_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
neck_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_ankle_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_foot_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_hand_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_hip_roll_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_hip_yaw_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_knee_center,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_knee_front_upper_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_knee_lower,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_knee_motor_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_knee_rear_link,False,False,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_shank_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_shoulder_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_thigh_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
right_upper_arm_link,False,True,True,False,make_real_component_with_body;fix_parent_chain_to_base_link
